from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:51058,SKY:ServiceJourney:620-180244-16409959,NSR:Quay:51058,SKY:ServiceJourney:554-180244-16409809,1
NSR:Quay:102566,SKY:ServiceJourney:300-178200-16975513,NSR:Quay:102566,SKY:ServiceJourney:302-178200-15768539,1
NSR:Quay:58003,SKY:ServiceJourney:910-179862-17274364,NSR:Quay:58003,SKY:ServiceJourney:910-179862-17274357,1
NSR:Quay:49643,SKY:ServiceJourney:601-178882-15770571,NSR:Quay:49644,SKY:ServiceJourney:600-178882-16995321,1
NSR:Quay:53047,SKY:ServiceJourney:495-180507-17087454,NSR:Quay:53047,SKY:ServiceJourney:493-180507-17087601,1
NSR:Quay:54056,SKY:ServiceJourney:945-178237-16406841,NSR:Quay:54056,SKY:ServiceJourney:925-178237-16406765,1
NSR:Quay:102566,SKY:ServiceJourney:330-178194-16817327,NSR:Quay:102565,SKY:ServiceJourney:300-178194-16974688,1
NSR:Quay:57719,SKY:ServiceJourney:910-179815-17268201,NSR:Quay:57719,SKY:ServiceJourney:900-179815-17268299,1
NSR:Quay:58003,SKY:ServiceJourney:910-179341-17163403,NSR:Quay:58003,SKY:ServiceJourney:910-179341-17163405,1
NSR:Quay:49625,SKY:ServiceJourney:602-179594-15993346,NSR:Quay:49626,SKY:ServiceJourney:600-179594-16995038,1
NSR:Quay:58003,SKY:ServiceJourney:910-179341-17163403,NSR:Quay:58003,SKY:ServiceJourney:910-179341-17163407,1
NSR:Quay:50561,SKY:ServiceJourney:450-180505-17087231,NSR:Quay:108892,SKY:ServiceJourney:459-180505-17087306,1
NSR:Quay:102566,SKY:ServiceJourney:300-179219-17155502,NSR:Quay:102566,SKY:ServiceJourney:320-179219-17155842,1
NSR:Quay:55163,SKY:ServiceJourney:900-179876-17257912,NSR:Quay:55163,SKY:ServiceJourney:901-179876-17257925,1
NSR:Quay:99593,SKY:ServiceJourney:26-179548-16769503,NSR:Quay:53416,SKY:ServiceJourney:36-179548-16768720,1
NSR:Quay:57428,SKY:ServiceJourney:340-179276-17161574,NSR:Quay:57428,SKY:ServiceJourney:344-179276-16817797,1
NSR:Quay:49625,SKY:ServiceJourney:601-178162-16972931,NSR:Quay:49626,SKY:ServiceJourney:600-178162-17333388,1
NSR:Quay:52651,SKY:ServiceJourney:700-179164-17154544,NSR:Quay:52651,SKY:ServiceJourney:633-179164-17154659,1
NSR:Quay:53046,SKY:ServiceJourney:481-180505-17087407,NSR:Quay:53047,SKY:ServiceJourney:493-180505-17087588,1
NSR:Quay:102566,SKY:ServiceJourney:320-179580-16974069,NSR:Quay:102565,SKY:ServiceJourney:300-179580-16973971,1
NSR:Quay:58337,SKY:ServiceJourney:300-179219-17155548,NSR:Quay:58336,SKY:ServiceJourney:310-179219-17155734,1
NSR:Quay:55163,SKY:ServiceJourney:900-180583-17257875,NSR:Quay:55163,SKY:ServiceJourney:901-180583-17257929,1
NSR:Quay:102567,SKY:ServiceJourney:340-179276-17161586,NSR:Quay:102565,SKY:ServiceJourney:300-179276-17158398,1
NSR:Quay:53046,SKY:ServiceJourney:484-178712-17087791,NSR:Quay:53047,SKY:ServiceJourney:495-178712-17093080,1
NSR:Quay:58846,SKY:ServiceJourney:925-178237-16406782,NSR:Quay:58846,SKY:ServiceJourney:934-178237-16406823,1
NSR:Quay:57612,SKY:ServiceJourney:900-180583-17257858,NSR:Quay:57612,SKY:ServiceJourney:901-180583-17257941,1
NSR:Quay:50561,SKY:ServiceJourney:455-180501-17086895,NSR:Quay:50567,SKY:ServiceJourney:450-180501-17087243,1
NSR:Quay:58496,SKY:ServiceJourney:740-180282-17305488,NSR:Quay:58496,SKY:ServiceJourney:743-180282-17305497,1
NSR:Quay:103636,SKY:ServiceJourney:552-180242-16409562,NSR:Quay:103637,SKY:ServiceJourney:620-180242-16409928,1
NSR:Quay:58338,SKY:ServiceJourney:300-179219-17155474,NSR:Quay:58336,SKY:ServiceJourney:310-179219-17155717,1
